iter	Passed	Remaining
787	6651	1789
788	6659	1780
789	6667	1772
790	6675	1763
791	6684	1755
792	6692	1747
793	6701	1738
794	6709	1730
795	6717	1721
796	6725	1713
797	6734	1704
798	6742	1696
799	6750	1687
800	6758	1679
801	6766	1670
802	6775	1662
803	6783	1653
804	6791	1645
805	6800	1636
806	6808	1628
807	6817	1619
808	6825	1611
809	6834	1603
810	6842	1594
811	6851	1586
812	6859	1577
813	6869	1569
814	6879	1561
815	6888	1553
816	6897	1544
817	6905	1536
818	6914	1528
819	6922	1519
820	6931	1511
821	6938	1502
822	6947	1494
823	6955	1485
824	6963	1477
825	6971	1468
826	6980	1460
827	6988	1451
828	6997	1443
829	7005	1434
830	7014	1426
831	7022	1417
832	7030	1409
833	7038	1400
834	7046	1392
835	7054	1383
836	7062	1375
837	7070	1366
838	7079	1358
839	7087	1350
840	7096	1341
841	7104	1333
842	7113	1324
843	7122	1316
844	7130	1308
845	7139	1299
846	7147	1291
847	7155	1282
848	7163	1274
849	7172	1265
850	7180	1257
851	7188	1248
852	7196	1240
853	7205	1231
854	7213	1223
855	7221	1214
856	7230	1206
857	7239	1198
858	7247	1189
859	7255	1181
860	7263	1172
861	7271	1164
862	7280	1155
863	7288	1147
864	7297	1138
865	7305	1130
866	7313	1121
867	7321	1113
868	7330	1104
869	7338	1096
870	7346	1088
871	7354	1079
872	7362	1071
873	7371	1062
874	7379	1054
875	7388	1045
876	7396	1037
877	7404	1028
878	7413	1020
879	7421	1012
880	7430	1003
881	7438	995
882	7446	986
883	7455	978
884	7463	969
885	7471	961
886	7479	952
887	7488	944
888	7496	936
889	7504	927
890	7513	919
891	7521	910
892	7529	902
893	7537	893
894	7546	885
895	7554	876
896	7562	868
897	7570	859
898	7579	851
899	7587	843
900	7595	834
901	7603	826
902	7611	817
903	7619	809
904	7627	800
905	7636	792
906	7644	783
907	7652	775
908	7660	766
909	7669	758
910	7677	750
911	7686	741
912	7694	733
913	7702	724
914	7710	716
915	7718	707
916	7727	699
917	7735	691
918	7744	682
919	7752	674
920	7760	665
921	7768	657
922	7777	648
923	7785	640
924	7794	631
925	7802	623
926	7810	615
927	7819	606
928	7827	598
929	7835	589
930	7843	581
931	7851	572
932	7860	564
933	7868	556
934	7877	547
935	7885	539
936	7894	530
937	7902	522
938	7910	513
939	7918	505
940	7926	497
941	7935	488
942	7943	480
943	7951	471
944	7959	463
945	7967	454
946	7976	446
947	7984	437
948	7992	429
949	8000	421
950	8009	412
951	8018	404
952	8026	395
953	8034	387
954	8042	378
955	8050	370
956	8059	362
957	8067	353
958	8075	345
959	8084	336
960	8092	328
